phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.768179,0.335076,0.220966,0.275748,0.277263,0.277263
phase1,2,0.720694,0.419194,0.257127,0.311727,0.329349,0.329349
phase1,3,0.681486,0.455578,0.280055,0.31336,0.349664,0.349664
phase1,4,0.666842,0.472746,0.274889,0.312744,0.35346,0.35346
phase1,5,0.662368,0.479858,0.276389,0.311742,0.355996,0.355996
phase2,1,0.612679,0.618822,0.376059,0.347701,0.447527,0.447527
phase2,2,0.500938,0.661241,0.439313,0.360978,0.487177,0.487177
phase2,3,0.448944,0.671379,0.4397,0.402238,0.504439,0.504439
phase2,4,0.413329,0.683669,0.450472,0.374187,0.502776,0.504439
phase2,5,0.3723,0.694784,0.459166,0.379124,0.511024,0.511024
phase2,6,0.349836,0.699732,0.445543,0.382125,0.509133,0.511024
phase2,7,0.327524,0.702709,0.469073,0.368735,0.513506,0.513506
phase2,8,0.313966,0.699622,0.464521,0.39283,0.518991,0.518991
phase2,9,0.30275,0.70391,0.455606,0.362296,0.507271,0.518991
phase2,10,0.285504,0.705213,0.465161,0.383046,0.517807,0.518991
phase2,11,0.273485,0.714911,0.470508,0.375969,0.520463,0.520463
phase2,12,0.270676,0.710949,0.46951,0.358707,0.513055,0.520463
phase2,13,0.267051,0.712686,0.471885,0.364781,0.51645,0.520463
phase2,14,0.258067,0.712582,0.474025,0.367835,0.518147,0.520463
phase2,15,0.255272,0.713223,0.473709,0.364246,0.517059,0.520463
test,-,-,0.728787,0.483488,0.472615,0.56163,-
