phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.766952,0.34711,0.121216,0.100643,0.189656,0.189656
phase1,2,0.737626,0.442453,0.174853,0.179857,0.265721,0.265721
phase1,3,0.697362,0.486832,0.215089,0.193207,0.298376,0.298376
phase1,4,0.686277,0.500741,0.219907,0.201605,0.307418,0.307418
phase1,5,0.662726,0.503284,0.222247,0.204014,0.309848,0.309848
phase2,1,0.609716,0.644589,0.322982,0.245947,0.404506,0.404506
phase2,2,0.496148,0.707348,0.459564,0.43653,0.534481,0.534481
phase2,3,0.42607,0.723938,0.465356,0.415037,0.534777,0.534777
phase2,4,0.387157,0.740539,0.472489,0.424828,0.545952,0.545952
phase2,5,0.356407,0.732473,0.493528,0.421888,0.549297,0.549297
phase2,6,0.334687,0.745744,0.48426,0.42423,0.551411,0.551411
phase2,7,0.315096,0.741982,0.47967,0.412293,0.544648,0.551411
phase2,8,0.299361,0.740281,0.499465,0.438005,0.55925,0.55925
phase2,9,0.288239,0.742995,0.496457,0.429755,0.556402,0.55925
phase2,10,0.274335,0.748192,0.493042,0.436723,0.559319,0.559319
phase2,11,0.2706,0.744694,0.484587,0.428253,0.552511,0.559319
phase2,12,0.256131,0.743117,0.492715,0.423436,0.553089,0.559319
phase2,13,0.250198,0.747007,0.494846,0.430015,0.557289,0.559319
phase2,14,0.247795,0.750288,0.490826,0.424014,0.555043,0.559319
phase2,15,0.240821,0.750325,0.491216,0.426024,0.555855,0.559319
test,-,-,0.789037,0.471946,0.551175,0.604053,-
