phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,2.190143,0.463753,0.126638,0.216891,0.269094,0.269094
phase1,2,0.660904,0.533498,0.283411,0.319718,0.378875,0.378875
phase1,3,0.619361,0.544023,0.297687,0.310425,0.384045,0.384045
phase1,4,0.603075,0.557729,0.317712,0.313647,0.396363,0.396363
phase1,5,0.590882,0.560416,0.317918,0.31287,0.397068,0.397068
phase2,1,0.564947,0.623746,0.382163,0.331264,0.445724,0.445724
phase2,2,0.494736,0.655073,0.436311,0.352347,0.481244,0.481244
phase2,3,0.452088,0.689599,0.452983,0.372993,0.505192,0.505192
phase2,4,0.40182,0.689911,0.444428,0.34728,0.493873,0.505192
phase2,5,0.366997,0.703439,0.457426,0.341817,0.500894,0.505192
phase2,6,0.343553,0.708574,0.436458,0.328363,0.491132,0.505192
phase2,7,0.320408,0.711652,0.434988,0.352268,0.499636,0.505192
phase2,8,0.303987,0.713912,0.445733,0.378872,0.512839,0.512839
phase2,9,0.285263,0.708347,0.452008,0.369221,0.509858,0.512839
phase2,10,0.276491,0.713111,0.45838,0.351599,0.507697,0.512839
phase2,11,0.260793,0.723086,0.464392,0.369942,0.51914,0.51914
phase2,12,0.254989,0.714944,0.464797,0.38427,0.521337,0.521337
phase2,13,0.245466,0.720268,0.460415,0.365331,0.515338,0.521337
phase2,14,0.242796,0.71897,0.461545,0.363067,0.514527,0.521337
phase2,15,0.235887,0.718805,0.459863,0.358248,0.512305,0.521337
test,-,-,0.728573,0.489789,0.481162,0.566508,-
