phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.756027,0.330601,0.096485,0.106646,0.177911,0.177911
phase1,2,0.736878,0.420938,0.164156,0.185818,0.256971,0.256971
phase1,3,0.700381,0.466007,0.170596,0.184157,0.273587,0.273587
phase1,4,0.691363,0.478721,0.18256,0.195145,0.285476,0.285476
phase1,5,0.669749,0.481361,0.186891,0.198385,0.288879,0.288879
phase2,1,0.624988,0.624317,0.291553,0.255839,0.39057,0.39057
phase2,2,0.508598,0.676519,0.43871,0.410315,0.508515,0.508515
phase2,3,0.442864,0.694363,0.446716,0.407118,0.516066,0.516066
phase2,4,0.402918,0.712879,0.471842,0.422059,0.535593,0.535593
phase2,5,0.372613,0.712964,0.480127,0.41973,0.537607,0.537607
phase2,6,0.34722,0.723065,0.476494,0.419663,0.539741,0.539741
phase2,7,0.330566,0.726602,0.473082,0.412949,0.537544,0.539741
phase2,8,0.311755,0.717836,0.480556,0.434714,0.544369,0.544369
phase2,9,0.29938,0.720218,0.481855,0.427528,0.5432,0.544369
phase2,10,0.284281,0.721735,0.476347,0.429174,0.542419,0.544369
phase2,11,0.280012,0.721675,0.474314,0.42548,0.54049,0.544369
phase2,12,0.268066,0.721112,0.480303,0.418615,0.54001,0.544369
phase2,13,0.264102,0.720844,0.478278,0.414202,0.537775,0.544369
phase2,14,0.258305,0.724086,0.474624,0.411676,0.536795,0.544369
phase2,15,0.251097,0.723339,0.477402,0.414358,0.538366,0.544369
test,-,-,0.763861,0.496637,0.52661,0.595703,-
