phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.766543,0.332456,0.222764,0.279383,0.278201,0.278201
phase1,2,0.720372,0.426893,0.257652,0.312344,0.332297,0.332297
phase1,3,0.679321,0.462324,0.284014,0.315332,0.35389,0.35389
phase1,4,0.66605,0.477259,0.277621,0.315428,0.356769,0.356769
phase1,5,0.661458,0.483526,0.279701,0.313032,0.358753,0.358753
phase2,1,0.611536,0.61396,0.385967,0.356891,0.452272,0.452272
phase2,2,0.498165,0.65626,0.444873,0.367207,0.489447,0.489447
phase2,3,0.447798,0.675374,0.43087,0.393999,0.500081,0.500081
phase2,4,0.416511,0.690963,0.445926,0.370909,0.502599,0.502599
phase2,5,0.375893,0.693524,0.450258,0.357907,0.500563,0.502599
phase2,6,0.353954,0.700819,0.4469,0.381207,0.509642,0.509642
phase2,7,0.330676,0.706167,0.463133,0.357893,0.509064,0.509642
phase2,8,0.317852,0.705301,0.463817,0.38909,0.519402,0.519402
phase2,9,0.303462,0.70965,0.449531,0.344476,0.501219,0.519402
phase2,10,0.286494,0.711391,0.465012,0.379113,0.518505,0.519402
phase2,11,0.274613,0.715499,0.465426,0.357063,0.512663,0.519402
phase2,12,0.269935,0.711805,0.466792,0.347461,0.508686,0.519402
phase2,13,0.265856,0.710418,0.467111,0.35275,0.510093,0.519402
phase2,14,0.257434,0.712068,0.470754,0.362399,0.515074,0.519402
phase2,15,0.254661,0.713299,0.46953,0.355868,0.512899,0.519402
test,-,-,0.725486,0.484689,0.472646,0.560941,-
