phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,1.759801,0.314637,0.231315,0.22626,0.257404,0.257404
phase1,2,0.723027,0.404352,0.263377,0.289089,0.318939,0.318939
phase1,3,0.68453,0.447174,0.267519,0.286104,0.333599,0.333599
phase1,4,0.67865,0.459628,0.270248,0.293492,0.341123,0.341123
phase1,5,0.654628,0.462291,0.271662,0.293404,0.342452,0.342452
phase2,1,0.614529,0.589406,0.366711,0.343372,0.433163,0.433163
phase2,2,0.513483,0.6391,0.441211,0.391253,0.490521,0.490521
phase2,3,0.453596,0.667406,0.44774,0.394339,0.503162,0.503162
phase2,4,0.415041,0.686725,0.464496,0.402182,0.517801,0.517801
phase2,5,0.382688,0.693106,0.46002,0.394776,0.515967,0.517801
phase2,6,0.354861,0.696804,0.460724,0.396029,0.517852,0.517852
phase2,7,0.331226,0.704769,0.464342,0.384649,0.51792,0.51792
phase2,8,0.318245,0.693237,0.471553,0.399052,0.521281,0.521281
phase2,9,0.307026,0.702184,0.473109,0.400395,0.52523,0.52523
phase2,10,0.291349,0.700959,0.471183,0.390765,0.520969,0.52523
phase2,11,0.28332,0.703264,0.469131,0.390123,0.520839,0.52523
phase2,12,0.275451,0.703329,0.473966,0.37707,0.518122,0.52523
phase2,13,0.26879,0.700786,0.476234,0.388434,0.521818,0.52523
phase2,14,0.265271,0.701359,0.473009,0.380793,0.518387,0.52523
phase2,15,0.259179,0.700616,0.471693,0.379764,0.517357,0.52523
test,-,-,0.723422,0.479288,0.484685,0.562465,-
